AverageTemperature,City,Year,Month
24.008,Acapulco,1843,3
,Acapulco,1843,4
,Acapulco,1843,5
,Acapulco,1843,6
,Acapulco,1843,7
,Acapulco,1843,8
,Acapulco,1843,9
,Acapulco,1843,10
,Acapulco,1843,11
,Acapulco,1843,12
,Acapulco,1844,1
,Acapulco,1844,2
,Acapulco,1844,3
,Acapulco,1844,4
,Acapulco,1844,5
,Acapulco,1844,6
,Acapulco,1844,7
,Acapulco,1844,8
,Acapulco,1844,9
,Acapulco,1844,10
,Acapulco,1844,11
,Acapulco,1844,12
,Acapulco,1845,1
,Acapulco,1845,2
,Acapulco,1845,3
,Acapulco,1845,4
,Acapulco,1845,5
,Acapulco,1845,6
,Acapulco,1845,7
26.793,Acapulco,1845,8
,Acapulco,1845,9
,Acapulco,1845,10
,Acapulco,1845,11
,Acapulco,1845,12
,Acapulco,1846,1
,Acapulco,1846,2
,Acapulco,1846,3
,Acapulco,1846,4
,Acapulco,1846,5
,Acapulco,1846,6
,Acapulco,1846,7
,Acapulco,1846,8
,Acapulco,1846,9
25.804,Acapulco,1846,10
,Acapulco,1846,11
26.763,Acapulco,1846,12
,Acapulco,1847,1
,Acapulco,1847,2
,Acapulco,1847,3
,Acapulco,1847,4
,Acapulco,1847,5
,Acapulco,1847,6
,Acapulco,1847,7
,Acapulco,1847,8
,Acapulco,1847,9
,Acapulco,1847,10
,Acapulco,1847,11
,Acapulco,1847,12
,Acapulco,1848,1
,Acapulco,1848,2
,Acapulco,1848,3
,Acapulco,1848,4
,Acapulco,1848,5
,Acapulco,1848,6
,Acapulco,1848,7
,Acapulco,1848,8
,Acapulco,1848,9
,Acapulco,1848,10
,Acapulco,1848,11
,Acapulco,1848,12
26.05,Acapulco,1849,1
24.535,Acapulco,1849,2
25.167,Acapulco,1849,3
23.92,Acapulco,1849,4
25.174,Acapulco,1849,5
27.128,Acapulco,1849,6
27.706,Acapulco,1849,7
27.537,Acapulco,1849,8
26.565,Acapulco,1849,9
26.073,Acapulco,1849,10
26.993,Acapulco,1849,11
25.193,Acapulco,1849,12
26.106,Acapulco,1850,1
25.635,Acapulco,1850,2
24.776,Acapulco,1850,3
24.33,Acapulco,1850,4
24.201,Acapulco,1850,5
26.773,Acapulco,1850,6
27.771,Acapulco,1850,7
27.625,Acapulco,1850,8
26.797,Acapulco,1850,9
26.316,Acapulco,1850,10
25.796,Acapulco,1850,11
24.262,Acapulco,1850,12
25.296,Acapulco,1851,1
23.974,Acapulco,1851,2
23.677,Acapulco,1851,3
24.349,Acapulco,1851,4
26.33,Acapulco,1851,5
27.467,Acapulco,1851,6
27.163,Acapulco,1851,7
27.416,Acapulco,1851,8
26.277,Acapulco,1851,9
26.591,Acapulco,1851,10
25.243,Acapulco,1851,11
25.528,Acapulco,1851,12
23.464,Acapulco,1852,1
25.581,Acapulco,1852,2
23.836,Acapulco,1852,3
24.621,Acapulco,1852,4
26.412,Acapulco,1852,5
26.929,Acapulco,1852,6
27.301,Acapulco,1852,7
27.26,Acapulco,1852,8
26.425,Acapulco,1852,9
26.15,Acapulco,1852,10
26.144,Acapulco,1852,11
26.575,Acapulco,1852,12
23.741,Acapulco,1853,1
22.949,Acapulco,1853,2
22.914,Acapulco,1853,3
24.062,Acapulco,1853,4
